
2,190,000 hands checked | 203,633 dead | 495.3s taken
2,200,000 hands checked | 206,007 dead | 497.4s taken
2,210,000 hands checked | 206,741 dead | 498.9s taken
2,220,000 hands checked | 208,810 dead | 500.9s taken
2,230,000 hands checked | 211,524 dead | 503.2s taken
2,240,000 hands checked | 212,599 dead | 504.6s taken
2,250,000 hands checked | 213,621 dead | 506.0s taken
2,260,000 hands checked | 216,019 dead | 508.1s taken
2,270,000 hands checked | 217,733 dead | 509.8s taken
2,280,000 hands checked | 219,902 dead | 511.9s taken
2,290,000 hands checked | 220,494 dead | 513.1s taken
2,300,000 hands checked | 221,682 dead | 514.6s taken
2,310,000 hands checked | 223,858 dead | 516.6s taken
2,320,000 hands checked | 224,926 dead | 518.1s taken
2,330,000 hands checked | 225,074 dead | 519.0s taken
2,340,000 hands checked | 227,323 dead | 521.1s taken
2,350,000 hands checked | 229,702 dead | 523.2s taken
2,360,000 hands checked | 231,432 dead | 525.0s taken
2,370,000 hands checked | 232,950 dead | 526.7s taken
2,380,000 hands checked | 235,503 dead | 528.9s taken
2,390,000 hands checked | 236,081 dead | 530.1s taken
2,400,000 hands checked | 238,289 dead | 532.2s taken
2,410,000 hands checked | 240,759 dead | 534.4s taken
2,420,000 hands checked | 242,382 dead | 536.2s taken
2,430,000 hands checked | 242,724 dead | 537.2s taken
2,440,000 hands checked | 245,643 dead | 539.6s taken
2,450,000 hands checked | 248,015 dead | 541.7s taken
2,460,000 hands checked | 250,027 dead | 543.6s taken
2,470,000 hands checked | 250,828 dead | 544.5s taken
2,480,000 hands checked | 250,828 dead | 544.9s taken
2,490,000 hands checked | 250,828 dead | 545.2s taken
2,500,000 hands checked | 250,828 dead | 545.5s taken
2,510,000 hands checked | 250,828 dead | 545.8s taken
2,520,000 hands checked | 250,828 dead | 546.1s taken
2,530,000 hands checked | 250,828 dead | 546.4s taken
2,540,000 hands checked | 250,828 dead | 546.7s taken
2,550,000 hands checked | 250,828 dead | 546.9s taken
2,560,000 hands checked | 250,828 dead | 547.2s taken
2,570,000 hands checked | 250,828 dead | 547.4s taken
2,580,000 hands checked | 250,828 dead | 547.7s taken
2,590,000 hands checked | 250,828 dead | 547.9s taken
2,600,000 hands checked | 250,828 dead | 548.1s taken
2,610,000 hands checked | 250,828 dead | 548.3s taken
2,620,000 hands checked | 250,828 dead | 548.6s taken
2,630,000 hands checked | 250,828 dead | 548.8s taken
2,640,000 hands checked | 250,828 dead | 549.0s taken
2,650,000 hands checked | 250,828 dead | 549.2s taken
2,660,000 hands checked | 250,828 dead | 549.4s taken
2,670,000 hands checked | 250,828 dead | 549.6s taken
2,680,000 hands checked | 250,828 dead | 549.8s taken
2,690,000 hands checked | 250,828 dead | 550.0s taken
2,700,000 hands checked | 250,828 dead | 550.1s taken
2,710,000 hands checked | 250,828 dead | 550.3s taken
2,720,000 hands checked | 250,828 dead | 550.5s taken
2,730,000 hands checked | 250,828 dead | 550.7s taken
2,740,000 hands checked | 250,828 dead | 550.8s taken
2,750,000 hands checked | 250,828 dead | 551.0s taken
2,760,000 hands checked | 250,828 dead | 551.2s taken
2,770,000 hands checked | 250,828 dead | 551.3s taken
2,780,000 hands checked | 250,828 dead | 551.5s taken
2,790,000 hands checked | 250,828 dead | 551.6s taken
2,800,000 hands checked | 250,828 dead | 551.8s taken
2,810,000 hands checked | 250,828 dead | 551.9s taken
2,820,000 hands checked | 250,828 dead | 552.1s taken
2,830,000 hands checked | 250,828 dead | 552.3s taken
2,840,000 hands checked | 250,828 dead | 552.5s taken
2,850,000 hands checked | 250,828 dead | 552.7s taken
2,860,000 hands checked | 250,828 dead | 552.9s taken
2,870,000 hands checked | 250,828 dead | 553.1s taken
2,880,000 hands checked | 250,828 dead | 553.3s taken
2,890,000 hands checked | 250,828 dead | 553.5s taken
2,900,000 hands checked | 250,828 dead | 553.6s taken
2,910,000 hands checked | 250,828 dead | 553.8s taken
2,920,000 hands checked | 250,829 dead | 554.0s taken
2,930,000 hands checked | 250,829 dead | 554.2s taken
